Date,SARIMA,LSTM,RL_Best_Forecast,Model_Used
2024-01-01,10.784634911562115,16.061913,10.784634911562115,SARIMA
2024-02-01,10.907886219998344,13.934719,10.907886219998344,SARIMA
2024-03-01,12.948559891001077,12.110982,12.948559891001077,SARIMA
2024-04-01,15.573173897530634,11.219506,15.573173897530634,SARIMA
2024-05-01,18.609153770304072,11.835337,18.609153770304072,SARIMA
2024-06-01,22.956884132380768,13.221865,22.956884132380768,SARIMA
2024-07-01,26.43163064327811,14.906042,26.43163064327811,SARIMA
2024-08-01,26.762433904335232,16.734983,26.762433904335232,SARIMA
2024-09-01,23.72198388700908,18.360323,23.72198388700908,SARIMA
2024-10-01,20.31648310100958,19.324196,20.31648310100958,SARIMA
2024-11-01,14.999049423879416,19.429134,14.999049423879416,SARIMA
2024-12-01,11.74562472088394,18.640675,11.74562472088394,SARIMA
2025-01-01,10.801546452777757,17.26002,10.801546452777757,SARIMA
2025-02-01,10.924991033364554,15.476892,10.924991033364554,SARIMA
2025-03-01,12.968864714119848,13.45738,12.968864714119848,SARIMA
2025-04-01,15.597594415646087,11.83299,15.597594415646087,SARIMA
2025-05-01,18.638335052151383,11.361198,18.638335052151383,SARIMA
2025-06-01,22.99288315278072,12.191597,22.99288315278072,SARIMA
2025-07-01,26.47307846368982,13.6434765,26.47307846368982,SARIMA
2025-08-01,26.804400462101476,15.346161,26.804400462101476,SARIMA
2025-09-01,23.75918267134547,17.068785,23.75918267134547,SARIMA
2025-10-01,20.348341670551996,18.518333,20.348341670551996,SARIMA
2025-11-01,15.02256964914503,19.242561,15.02256964914503,SARIMA
2025-12-01,11.764043204049994,19.127878,11.764043204049994,SARIMA
2026-01-01,10.81848451322456,18.178154,10.81848451322456,SARIMA
2026-02-01,10.942122669034774,16.798574,10.942122669034774,SARIMA
2026-03-01,12.989201377523978,14.985397,12.989201377523978,SARIMA
2026-04-01,15.62205322792746,13.064876,15.62205322792746,SARIMA
2026-05-01,18.66756209358673,11.637365,18.66756209358673,SARIMA
2026-06-01,23.028938623762656,11.529417,23.028938623762656,SARIMA
2026-07-01,26.51459127902523,12.537909,26.51459127902523,SARIMA
2026-08-01,26.84643282823093,14.032301,26.84643282823093,SARIMA
2026-09-01,23.79643978763093,15.7322035,23.79643978763093,SARIMA
2026-10-01,20.380250197975812,17.359024,20.380250197975812,SARIMA
2026-11-01,15.04612675681438,18.619602,15.04612675681438,SARIMA
2026-12-01,11.782490569504578,19.116404,11.782490569504578,SARIMA
2027-01-01,10.835449134487725,18.8543,10.835449134487725,SARIMA
2027-02-01,10.959281169069444,17.802076,10.959281169069444,SARIMA
2027-03-01,13.009569931142677,16.39902,13.009569931142677,SARIMA
2027-04-01,15.646550394424374,14.545876,15.646550394424374,SARIMA
2027-05-01,18.696834966366385,12.738004,18.696834966366385,SARIMA
2027-06-01,23.06505063384754,11.501062,23.06505063384754,SARIMA
2027-07-01,26.556169191203814,11.726553,26.556169191203814,SARIMA
2027-08-01,26.88853110591864,12.877585,26.88853110591864,SARIMA
2027-09-01,23.83375532733664,14.376085,23.83375532733664,SARIMA
2027-10-01,20.412208761620704,16.049225,20.412208761620704,SARIMA
2027-11-01,15.0697208047233,17.59955,15.0697208047233,SARIMA
2027-12-01,11.800966862538422,18.683512,11.800966862538422,SARIMA
2028-01-01,10.852440358217642,19.014313,10.852440358217642,SARIMA
2028-02-01,10.97646657559496,18.6117,10.97646657559496,SARIMA
2028-03-01,13.029970424983444,17.511786,13.029970424983444,SARIMA
2028-04-01,15.671085975280633,16.023989,15.671085975280633,SARIMA
2028-05-01,18.726153742359138,14.148449,18.726153742359138,SARIMA
2028-06-01,23.101219271695165,12.449834,23.101219271695165,SARIMA
2028-07-01,26.59781230230487,11.474021,26.59781230230487,SARIMA
2028-08-01,26.93069539852146,11.933702,26.93069539852146,SARIMA
2028-09-01,23.8711293820772,13.170122,23.8711293820772,SARIMA
2028-10-01,20.44421743994919,14.702559,20.44421743994919,SARIMA
2028-11-01,15.093351850798305,16.33101,15.093351850798305,SARIMA
2028-12-01,11.81947212851328,17.792679,11.81947212851328,SARIMA
2029-01-01,10.869458226130025,18.732866,10.869458226130025,SARIMA
2029-02-01,10.99367893080378,18.9363,10.99367893080378,SARIMA
2029-03-01,13.0504029091322,18.387087,13.0504029091322,SARIMA
2029-04-01,15.695660030734343,17.226858,15.695660030734343,SARIMA
2029-05-01,18.755518493546468,15.662444,18.755518493546468,SARIMA
2029-06-01,23.13744462610433,13.797956,23.13744462610433,SARIMA
2029-07-01,26.63952071456776,12.214178,26.63952071456776,SARIMA
2029-08-01,26.972925809558333,11.515298,26.972925809558333,SARIMA
2029-09-01,23.90856204361088,12.136466,23.90856204361088,SARIMA
2029-10-01,20.476276311546822,13.450509,20.476276311546822,SARIMA
2029-11-01,15.117019953056756,15.00349,15.117019953056756,SARIMA
2029-12-01,11.838006412862036,16.585648,11.838006412862036,SARIMA
2030-01-01,10.886502780006,17.97441,10.886502780006,SARIMA
2030-02-01,11.01091827695452,18.785759,11.01091827695452,SARIMA
2030-03-01,13.070867433753415,18.843983,13.070867433753415,SARIMA
2030-04-01,15.72027262111808,18.139858,15.72027262111808,SARIMA
2030-05-01,18.784929292022753,16.940468,18.784929292022753,SARIMA
2030-06-01,23.173726786013088,15.320067,23.173726786013088,SARIMA
2030-07-01,26.681294530392183,13.486197,26.681294530392183,SARIMA
2030-08-01,27.015222442710527,12.026024,27.015222442710527,SARIMA
2030-09-01,23.946053403839834,11.58048,23.946053403839834,SARIMA
2030-10-01,20.5083854551224,12.3695965,20.5083854551224,SARIMA
2030-11-01,15.140725169606984,13.722658,15.140725169606984,SARIMA
2030-12-01,11.856569761088824,15.293349,11.856569761088824,SARIMA
2031-01-01,10.903574061692211,16.841879,10.903574061692211,SARIMA
2031-02-01,11.028184656372066,18.137299,11.028184656372066,SARIMA
2031-03-01,13.09136404909021,18.790754,13.09136404909021,SARIMA
2031-04-01,15.744923806859015,18.71978,15.744923806859015,SARIMA
2031-05-01,18.814386209995405,17.903193,18.814386209995405,SARIMA
2031-06-01,23.210065840498967,16.65605,23.210065840498967,SARIMA
2031-07-01,26.723133852338407,14.985611,26.723133852338407,SARIMA
2031-08-01,27.057585401821893,13.201151,27.057585401821893,SARIMA
2031-09-01,23.983603554810333,11.860064,23.983603554810333,SARIMA
2031-10-01,20.540544949508128,11.674398,20.540544949508128,SARIMA
2031-11-01,15.164467558648449,12.606495,15.164467558648449,SARIMA
2031-12-01,11.875162218769129,13.987707,11.875162218769129,SARIMA
2032-01-01,10.920672113100922,15.570379,10.920672113100922,SARIMA
2032-02-01,11.045478111447672,17.079634,11.045478111447672,SARIMA
2032-03-01,13.1118928054645,18.267141,13.1118928054645,SARIMA
2032-04-01,15.76961364847909,18.777195,15.76961364847909,SARIMA
2032-05-01,18.84388931978507,18.597286,18.84388931978507,SARIMA
2032-06-01,23.246461878779176,17.67416,23.246461878779176,SARIMA
2032-07-01,26.765038783127515,16.37729,26.765038783127515,SARIMA
2032-08-01,27.100014790899124,14.666056,27.100014790899124,SARIMA
2032-09-01,24.021212588712988,12.929497,24.021212588712988,SARIMA
2032-10-01,20.572754873659836,11.72772,20.572754873659836,SARIMA
2032-11-01,15.188247178471862,11.795403,15.188247178471862,SARIMA
2032-12-01,11.893783831549898,12.840973,11.893783831549898,SARIMA
2033-01-01,10.93779697621012,14.258089,10.93779697621012,SARIMA
2033-02-01,11.062798684639064,15.829099,11.062798684639064,SARIMA
2033-03-01,13.132453753277105,17.302683,13.132453753277105,SARIMA
2033-04-01,15.79434220659514,18.379461,15.79434220659514,SARIMA
2033-05-01,18.8734386938258,18.764986,18.8734386938258,SARIMA
2033-06-01,23.28291499021082,18.459888,23.28291499021082,SARIMA
2033-07-01,26.807009425641688,17.471392,26.807009425641688,SARIMA
2033-08-01,27.142510714112007,16.106297,27.142510714112007,SARIMA
2033-09-01,24.05888059788297,14.343994,24.05888059788297,SARIMA
2033-10-01,20.605015306657165,12.683428,20.605015306657165,SARIMA
2033-11-01,15.212064087459355,11.6291065,15.212064087459355,SARIMA
2033-12-01,11.912434645149672,11.934512,11.912434645149672,SARIMA
2034-01-01,10.954948693063615,13.073743,10.954948693063615,SARIMA
2034-02-01,11.080146418470555,14.527289,11.080146418470555,SARIMA
2034-03-01,13.153046943007883,16.083004,13.153046943007883,SARIMA
2034-04-01,15.81910954191906,17.50735,15.81910954191906,SARIMA
2034-05-01,18.903034404665235,18.472292,18.903034404665235,SARIMA
2034-06-01,23.319425264291123,18.745163,23.319425264291123,SARIMA
2034-07-01,26.849045882924425,18.323477,26.849045882924425,SARIMA
2034-08-01,27.185073275793673,17.26808,27.185073275793673,SARIMA
2034-09-01,24.09660767480024,15.822267,24.09660767480024,SARIMA
2034-10-01,20.637326327703764,14.038095,20.637326327703764,SARIMA
2034-11-01,15.235918344084602,12.4506035,15.235918344084602,SARIMA
2034-12-01,11.93111470535867,11.603882,11.93111470535867,SARIMA
2035-01-01,10.972127305771156,12.09292,10.972127305771156,SARIMA
2035-02-01,11.097521355533132,13.30377,11.097521355533132,SARIMA
2035-03-01,13.173672425215855,14.786335,13.173672425215855,SARIMA
2035-04-01,15.84391571525795,16.320362,15.84391571525795,SARIMA
2035-05-01,18.932676524964773,17.69697,18.932676524964773,SARIMA
2035-06-01,23.355992790657663,18.564432,23.355992790657663,SARIMA
2035-07-01,26.8911482581808,18.720823,26.8911482581808,SARIMA
2035-08-01,27.227702580440862,18.162626,27.227702580440862,SARIMA
2035-09-01,24.134393912089788,17.049295,24.134393912089788,SARIMA
2035-10-01,20.66968801612748,15.531496,20.66968801612748,SARIMA
2035-11-01,15.25981000691297,13.744377,15.25981000691297,SARIMA
2035-12-01,11.949824058038924,12.249311,11.949824058038924,SARIMA
2036-01-01,10.989332856508517,11.627745,10.989332856508517,SARIMA
2036-02-01,11.114923538484575,12.261199,11.114923538484575,SARIMA
2036-03-01,13.194330250539318,13.5336,13.194330250539318,SARIMA
2036-04-01,15.868760787514258,15.044466,15.868760787514258,SARIMA
2036-05-01,18.962365127499755,16.5594,18.962365127499755,SARIMA
2036-06-01,23.39261765908857,17.878988,23.39261765908857,SARIMA
2036-07-01,26.933316654777748,18.629774,26.933316654777748,SARIMA
2036-08-01,27.270398732714185,18.66694,27.270398732714185,SARIMA
2036-09-01,24.172239402521843,17.979738,24.172239402521843,SARIMA
2036-10-01,20.70210045138056,16.81668,20.70210045138056,SARIMA
2036-11-01,15.283739134601662,15.239143,15.283739134601662,SARIMA
2036-12-01,11.968562749124375,13.468776,11.968562749124375,SARIMA
2037-01-01,11.006565387517607,12.072924,11.006565387517607,SARIMA
2037-02-01,11.132353010049554,11.664801,11.132353010049554,SARIMA
2037-03-01,13.215020469695972,12.453038,13.215020469695972,SARIMA
2037-04-01,15.89364481968594,13.769479,15.89364481968594,SARIMA
2037-05-01,18.992100285159648,15.303301,18.992100285159648,SARIMA
2037-06-01,23.429299959502767,16.798235,23.429299959502767,SARIMA
2037-07-01,26.97555117624428,18.043713,26.97555117624428,SARIMA
2037-08-01,27.313161837438365,18.661228,27.313161837438365,SARIMA
2037-09-01,24.210144239012116,18.59041,24.210144239012116,SARIMA
2037-10-01,20.734563713039833,17.791302,20.734563713039833,SARIMA
2037-11-01,15.307705785899866,16.57793,15.307705785899866,SARIMA
2037-12-01,11.987330824621004,14.947998,11.987330824621004,SARIMA
2038-01-01,11.023824941106582,13.211806,11.023824941106582,SARIMA
2038-02-01,11.149809813019736,11.914873,11.149809813019736,SARIMA
2038-03-01,13.235743133483057,11.733169,13.235743133483057,SARIMA
2038-04-01,15.918567872866593,12.653636,15.918567872866593,SARIMA
2038-05-01,19.02188207094821,14.011281,19.02188207094821,SARIMA
2038-06-01,23.466039781960166,15.554512,23.466039781960166,SARIMA
2038-07-01,27.017851926271753,17.028185,27.017851926271753,SARIMA
2038-08-01,27.3559919996025,18.180342,27.3559919996025,SARIMA
2038-09-01,24.248108514622007,18.675087,24.248108514622007,SARIMA
2038-10-01,20.767077880806923,18.499826,20.767077880806923,SARIMA
2038-11-01,15.3317100196489,17.603756,15.3317100196489,SARIMA
2038-12-01,12.006128330606924,16.334558,12.006128330606924,SARIMA
2039-01-01,11.041111559649934,14.660915,11.041111559649934,SARIMA
2039-02-01,11.16729399025389,12.959867,11.16729399025389,SARIMA
2039-03-01,13.256498292777463,11.782917,13.256498292777463,SARIMA
2039-04-01,15.94353000824563,11.833301,15.94353000824563,SARIMA
2039-05-01,19.05171055798368,12.865965,19.05171055798368,SARIMA
2039-06-01,23.502837216661916,14.2619705,23.502837216661916,SARIMA
2039-07-01,27.060219008714135,15.800787,27.060219008714135,SARIMA
2039-08-01,27.398889324360333,17.241768,27.398889324360333,SARIMA
2039-09-01,24.286132322558856,18.298582,24.286132322558856,SARIMA
2039-10-01,20.799643034508428,18.681822,20.799643034508428,SARIMA
2039-11-01,15.355751894782337,18.390316,15.355751894782337,SARIMA
2039-12-01,12.024955313232514,17.428246,12.024955313232514,SARIMA
2040-01-01,11.05842528558861,16.090826,11.05842528558861,SARIMA
2040-02-01,11.184805584677996,14.362588,11.184805584677996,SARIMA
2040-03-01,13.277285998535866,12.721725,13.277285998535866,SARIMA
2040-04-01,15.968531287108409,11.679166,15.968531287108409,SARIMA
2040-05-01,19.08158581949896,11.9625435,19.08158581949896,SARIMA
2040-06-01,23.539692353950603,13.0793295,23.539692353950603,SARIMA
2040-07-01,27.102652527588234,14.511181,27.102652527588234,SARIMA
2040-08-01,27.441853917030492,16.039991,27.441853917030492,SARIMA
2040-09-01,24.32421575617617,17.444176,24.32421575617617,SARIMA
2040-10-01,20.83225925409612,18.3993,20.83225925409612,SARIMA
2040-11-01,15.379831470326176,18.678343,15.379831470326176,SARIMA
2040-12-01,12.043811818720512,18.276983,12.043811818720512,SARIMA
